model,n_synth_valid,SRMSE_4D,SRMSE_5D_purpose,SRMSE_5D_mode,SRMSE_8D_full
main,16288,1.694724918030632,1.815663337630525,1.8644055436388978,1.9515904982918202
main_no_nash,16288,1.669596469091137,2.02142722658804,2.001501926015471,2.1354702488185833
gan,16288,52.20558308518528,53.541122737895584,53.18762088100878,54.516536109899874
wgan,16288,55.07688647666069,56.565082286752606,56.17553051386734,57.666890371716164
vae,16288,52.797496544262536,54.1678938563355,53.797157342317085,55.17112747631237
cgan,16288,28.911505466349947,29.569786282805772,29.408962619239695,30.059091981197543
cwgan,16288,31.550696389685566,32.271779240279194,32.10759217223994,32.8293620741422
cvae,16288,31.664899815784153,32.414933885773785,32.215691351209315,32.94930836833168
