model,family_SRMSE,n_families
real,0.0,3219
main,1.4802264028844934,3219
main_no_nash,2.1809788496288913,3219
cgan,4.632351399804011,3219
cwgan,4.316582429663296,3219
cvae,4.167919242228155,3219
gan,3.706968454786456,3219
wgan,3.875998603186196,3219
vae,4.299136301811139,3219
