model,P_joint,V_vio,H_vio,P_pc,P_chap,n_tour,mean_joint_size,P_overlap
real,0.03156727122244364,0.0,0.012316715542521995,0.11205432937181664,0.501937984496124,1.5230205278592375,1.758308157099698,0.29858312787005487
main,0.010637591241039517,0.0,0.03064516129032258,0.04074702886247878,0.3770833333333333,1.6851906158357772,1.3529411764705883,0.3740803621958121
main_no_nash,0.00866093366093366,0.1733457595526561,0.029912023460410556,0.09168081494057725,0.12244897959183673,1.6696480938416423,1.3870967741935485,0.4107163068962729
cgan,0.021111633129888705,0.0006213109661385523,0.9961876832844575,0.1035653650254669,0.004347826086956522,0.007771260997067449,1.0795454545454546,0.15865818091583397
cwgan,0.0019231053713812333,0.0,0.9980938416422287,0.01867572156196944,0.021551724137931036,0.004545454545454545,1.027027027027027,0.19592542932986617
cvae,0.006188685499030327,0.0,0.9922287390029325,0.022071307300509338,0.012170385395537525,0.017448680351906158,1.1170212765957446,0.2037981859410431
gan,0.001031203617410514,0.0,0.9982404692082112,0.003395585738539898,,0.003812316715542522,1.0,0.0228310502283105
wgan,0.0020243373691649553,0.0,0.9976539589442815,0.010186757215619695,0.02702702702702703,0.005278592375366569,1.0,0.04702797202797203
vae,0.006888785337061198,0.0,0.9982404692082112,0.006791171477079796,0.0,0.0036656891495601175,1.0786516853932584,0.09607498535442295
