split,subgroup,model,mode_0,mode_1,mode_2,mode_3,mode_4,mode_5,mode_6,mode_7,mode_8,mode_9,mode_10
income,low_income,real,0.49325820084524047,0.05514187965385389,0.015496075669148722,0.09156771986315154,0.19822901992352587,0.10243509760515195,0.0004024954719259408,0.012477359629704166,0.015496075669148722,0.004024954719259408,0.011471120949889314
income,low_income,main,0.6445964982893942,0.020728516804185953,0.007647413966592876,0.008049909438518816,0.20668142483397062,0.10505131817267056,0.0,0.003823706983296438,0.0006037432078889113,0.0,0.002817468303481586
income,low_income,main_no_nash,0.591668343731133,0.002012477359629704,0.0142885892533709,0.04689072247937211,0.012276111893741195,0.0374320788891125,0.1571744817870799,0.12457234856107868,0.0,0.010464882270074461,0.0032199637754075265
income,low_income,cgan,0.6160193197826525,0.01006238679814852,0.001408734151740793,0.04427450191185349,0.21010263634534113,0.1000201247735963,0.0,0.0142885892533709,0.001408734151740793,0.001408734151740793,0.001006238679814852
income,low_income,cwgan,0.6138055946870598,0.03441336284966794,0.010867377742000403,0.058563091165224394,0.19822901992352587,0.08271281948078084,0.0,0.0,0.0008049909438518816,0.0,0.0006037432078889113
income,low_income,cvae,0.5568524854095391,0.05936808210907627,0.01931978265244516,0.06902797343529886,0.20527269068222984,0.07063795532300261,0.0,0.002817468303481586,0.0074461662306299055,0.002012477359629704,0.007244918494666935
income,low_income,gan,0.4936606963171664,0.050915677198631513,0.021533507748037833,0.07083920305896559,0.2775206278929362,0.07426041457033608,0.0,0.002012477359629704,0.008049909438518816,0.0,0.0012074864157778226
income,low_income,wgan,0.6063594284564299,0.029784664922519622,0.010666130006037432,0.04608573153552022,0.20064399275508152,0.10384383175689274,0.0,0.0,0.0006037432078889113,0.0,0.002012477359629704
income,low_income,vae,0.6751861541557658,0.008653652646407727,0.003421211511370497,0.02938216945059368,0.18132421010263636,0.09619641779029986,0.0,0.0,0.0,0.0,0.005836184342926142
income,mid_income,real,0.3553239213616572,0.055812112415886,0.03852751022562343,0.08945771209922153,0.24026916479746668,0.1793112547829529,0.00013194352816994325,0.008576329331046312,0.014645731626863702,0.00686106346483705,0.011083256366275234
income,mid_income,main,0.476711967278005,0.015569336324053305,0.019923472753661433,0.0088402163873862,0.2733869903681224,0.19963055812112415,0.0,0.002902757619738752,0.0,0.0,0.003034701147908695
income,mid_income,main_no_nash,0.45428156748911463,0.002902757619738752,0.013062409288824383,0.03892334081013326,0.03179839028895633,0.03997888903549281,0.20345692043805252,0.2049082992479219,0.0,0.008444385802876368,0.0022430399788890354
income,mid_income,cgan,0.4705106214540177,0.015437392795883362,0.002111096450719092,0.05409684654967674,0.26890091041034436,0.1595197255574614,0.0,0.019923472753661433,0.004222192901438184,0.0031666446760786385,0.002111096450719092
income,mid_income,cwgan,0.46826758147512865,0.03773584905660377,0.01253463517614461,0.06755508642301095,0.26758147512864494,0.14197123631085895,0.0,0.00013194352816994325,0.002111096450719092,0.0,0.002111096450719092
income,mid_income,cvae,0.44702467343976776,0.07124950521176936,0.03892334081013326,0.08615912389497295,0.23591502836785855,0.10423538725425519,0.0,0.004222192901438184,0.005145797598627788,0.002506927035228922,0.004618023485948014
income,mid_income,gan,0.5213088797994458,0.05897875709196464,0.024937326824119276,0.0664995381976514,0.24356775300171526,0.07481198047235783,0.0,0.0013194352816994325,0.007388837577516823,0.0,0.0011874917535294894
income,mid_income,wgan,0.6151207283282755,0.02902757619738752,0.01174297400712495,0.040374719620002636,0.1994986145929542,0.10265206491621585,0.0,0.00013194352816994325,0.0009236046971896029,0.0,0.000527774112679773
income,mid_income,vae,0.6938910146457317,0.0075207811056867665,0.0022430399788890354,0.03074284206359678,0.1690196595856973,0.08879799445837182,0.0,0.0,0.0,0.0,0.007784668162026652
income,high_income,real,0.28155080213903744,0.06363636363636363,0.06470588235294118,0.09786096256684491,0.22780748663101605,0.20481283422459892,0.0008021390374331551,0.010427807486631016,0.023529411764705882,0.0021390374331550803,0.022727272727272728
income,high_income,main,0.4048128342245989,0.022994652406417113,0.034759358288770054,0.0106951871657754,0.2631016042780749,0.25668449197860965,0.0008021390374331551,0.00026737967914438503,0.00026737967914438503,0.0,0.005614973262032086
income,high_income,main_no_nash,0.35668449197860963,0.0032085561497326204,0.020053475935828877,0.047058823529411764,0.06229946524064171,0.04090909090909091,0.23903743315508022,0.22085561497326203,0.0,0.008021390374331552,0.0018716577540106951
income,high_income,cgan,0.4441176470588235,0.02486631016042781,0.0016042780748663102,0.05213903743315508,0.23636363636363636,0.18877005347593584,0.0,0.027807486631016044,0.009625668449197862,0.010160427807486631,0.004545454545454545
income,high_income,cwgan,0.4219251336898396,0.037700534759358285,0.015508021390374332,0.061229946524064174,0.2748663101604278,0.1839572192513369,0.0,0.00026737967914438503,0.0005347593582887701,0.0,0.004010695187165776
income,high_income,cvae,0.3951871657754011,0.06951871657754011,0.05026737967914439,0.07887700534759358,0.2371657754010695,0.1497326203208556,0.0,0.0042780748663101605,0.0034759358288770055,0.0021390374331550803,0.009358288770053475
income,high_income,gan,0.5641711229946524,0.03556149732620321,0.023529411764705882,0.058823529411764705,0.24946524064171122,0.05962566844919786,0.0,0.001336898395721925,0.006149732620320855,0.0,0.001336898395721925
income,high_income,wgan,0.6205882352941177,0.03502673796791444,0.012834224598930482,0.0374331550802139,0.18101604278074868,0.10935828877005348,0.0,0.0,0.0016042780748663102,0.0,0.0021390374331550803
income,high_income,vae,0.6901069518716577,0.007219251336898396,0.004812834224598931,0.023529411764705882,0.17272727272727273,0.09919786096256684,0.0,0.0,0.0,0.0,0.0024064171122994654
family_type,single,real,0.3506012950971323,0.04995374653098982,0.04440333024976873,0.09343200740055504,0.27474560592044406,0.14708603145235893,0.0,0.009250693802035153,0.01942645698427382,0.0074005550416281225,0.0037002775208140612
